,index,pkg,rtntype,name,intype,id
0,0,java.util.ArrayDeque,java.lang.Object[],toArray,void,<java.util.ArrayDeque: java.lang.Object[] toArray()>
1,1,sun.security.krb5.Config,void,refresh,void,<sun.security.krb5.Config: void refresh()>
2,2,java.util.spi.LocaleNameProvider,java.lang.String,getDisplayVariant,"java.lang.String,java.util.Locale","<java.util.spi.LocaleNameProvider: java.lang.String getDisplayVariant(java.lang.String,java.util.Locale)>"
3,3,java.lang.CharacterData,int,getType,int,<java.lang.CharacterData: int getType(int)>
4,4,sun.text.normalizer.UCharacterIterator,void,setIndex,int,<sun.text.normalizer.UCharacterIterator: void setIndex(int)>
5,5,java.io.ExpiringCache$Entry,void,setVal,java.lang.String,<java.io.ExpiringCache$Entry: void setVal(java.lang.String)>
6,6,sun.security.x509.GeneralSubtree,int,getMaximum,void,<sun.security.x509.GeneralSubtree: int getMaximum()>
7,7,java.util.concurrent.TimeUnit$6,long,convert,"long,java.util.concurrent.TimeUnit","<java.util.concurrent.TimeUnit$6: long convert(long,java.util.concurrent.TimeUnit)>"
8,8,java.lang.Class,boolean,isSynthetic,void,<java.lang.Class: boolean isSynthetic()>
9,9,java.nio.charset.CoderResult$Cache,java.nio.charset.CoderResult,create,int,<java.nio.charset.CoderResult$Cache: java.nio.charset.CoderResult create(int)>
10,10,sun.security.ssl.Handshaker,void,throwSSLException,"java.lang.String,java.lang.Throwable","<sun.security.ssl.Handshaker: void throwSSLException(java.lang.String,java.lang.Throwable)>"
11,11,javax.security.auth.SubjectDomainCombiner,boolean,cachePolicy,void,<javax.security.auth.SubjectDomainCombiner: boolean cachePolicy()>
12,12,java.nio.ByteBuffer,long,getLong,void,<java.nio.ByteBuffer: long getLong()>
13,13,sun.misc.JarIndex,java.util.LinkedList,get,java.lang.String,<sun.misc.JarIndex: java.util.LinkedList get(java.lang.String)>
14,14,sun.security.util.DerInputStream,java.lang.String,getUTF8String,void,<sun.security.util.DerInputStream: java.lang.String getUTF8String()>
15,15,javax.crypto.KeyGenerator,void,init,"java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom","<javax.crypto.KeyGenerator: void init(java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)>"
16,16,java.util.Formatter$FormatSpecifier,java.lang.String,justify,java.lang.String,<java.util.Formatter$FormatSpecifier: java.lang.String justify(java.lang.String)>
17,17,java.security.PermissionsEnumerator,java.lang.Object,nextElement,void,<java.security.PermissionsEnumerator: java.lang.Object nextElement()>
18,18,java.text.AttributedString,char,charAt,int,<java.text.AttributedString: char charAt(int)>
19,19,sun.security.ssl.SSLSessionContextImpl$SessionCacheVisitor,void,visit,java.util.Map,<sun.security.ssl.SSLSessionContextImpl$SessionCacheVisitor: void visit(java.util.Map)>
20,20,javax.naming.directory.DirContext,javax.naming.directory.Attributes,getAttributes,"javax.naming.Name,java.lang.String[]","<javax.naming.directory.DirContext: javax.naming.directory.Attributes getAttributes(javax.naming.Name,java.lang.String[])>"
21,21,sun.security.util.MemoryCache,void,emptyQueue,void,<sun.security.util.MemoryCache: void emptyQueue()>
22,22,sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl,boolean,getBoolean,java.lang.Object,<sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl: boolean getBoolean(java.lang.Object)>
23,23,java.nio.CharBuffer,java.lang.CharSequence,subSequence,"int,int","<java.nio.CharBuffer: java.lang.CharSequence subSequence(int,int)>"
24,24,java.lang.Byte,byte,parseByte,java.lang.String,<java.lang.Byte: byte parseByte(java.lang.String)>
25,25,sun.security.krb5.internal.crypto.crc32,void,engineUpdate,byte,<sun.security.krb5.internal.crypto.crc32: void engineUpdate(byte)>
26,26,java.io.ObjectOutputStream$BlockDataOutputStream,void,writeBytes,java.lang.String,<java.io.ObjectOutputStream$BlockDataOutputStream: void writeBytes(java.lang.String)>
27,27,java.io.ObjectStreamClass,java.lang.reflect.Method,access$1602,"java.io.ObjectStreamClass,java.lang.reflect.Method","<java.io.ObjectStreamClass: java.lang.reflect.Method access$1602(java.io.ObjectStreamClass,java.lang.reflect.Method)>"
28,28,java.util.concurrent.ThreadFactory,java.lang.Thread,newThread,java.lang.Runnable,<java.util.concurrent.ThreadFactory: java.lang.Thread newThread(java.lang.Runnable)>
